English,Sentiment
"matters of hope reecho at this height;
you can—for every time that Jesus favored
you three above the rest, you were the figure",neutral
"“There is no child of the Church Militant
who has more hope than he has, as is written
within the Sun whose rays reach all our ranks:",neutral
"While I was speaking, in the living heart
of that soul—flame there came a trembling flash,
sudden, repeated, just as lightning cracks.",neutral
"And as a happy maiden rises and
enters the dance to honor the new bride—
and not through vanity or other failing—",neutral
"On earth my body now is earth and shall
be there together with the rest until
our number equals the eternal purpose.",neutral
"Ah, how disturbed I was within my mind,
when I turned round to look at Beatrice,
on finding that I could not see, though I",neutral
"of anyone who can discern the truth
on which this proof is founded must be moved
to love, more than it loves all else, that Essence",positive
"As does a tree that bends its crown because
of winds that gust, and then springs up, raised by
its own sustaining power, so did I",positive
"He who on earth usurps my place, my place,
my place that in the sight of God’s own Son
is vacant now, has made my burial ground",neutral
"And like a woman who, although secure
in her own honesty, will pale on even
hearing about another woman’s failing,",neutral
"My sight was following their semblances—
until the space between us grew so great
as to deny my eyes all farther reach.",neutral
"Its parts were all so equally alive
and excellent, that I cannot say which
place Beatrice selected for my entry.",positive
"Just so, white skin turns black when it is struck
by direct light—the lovely daughter of
the one who brings us dawn and leaves us evening.",
"this high sphere shall shine so, that Providence,
long waited for, will turn the sterns to where
the prows now are, so that the fleet runs straight;",positive
"Created with the substances were order
and pattern; at the summit of the world
were those in whom pure act had been produced;",positive
"Then, sooner than it takes to count to twenty,
a portion of the angels violently
disturbed the lowest of your elements.",negative
"If the Barbarians, when they came from
a region that is covered every day
by Helice, who wheels with her loved son,",negative
"There I saw faces given up to love—
graced with Another’s light and their own smile—
and movements graced with every dignity.",positive
"O Highest Light, You, raised so far above
the minds of mortals, to my memory
give back something of Your epiphany,",positive
"brings more forgetfulness to me than twenty—
five centuries have brought to the endeavor
that startled Neptune with the Argo’s shadow!",neutral
"essence of that exalted Light, three circles
appeared to me; they had three different colors,
but all of them were of the same dimension;",neutral
"That circle—which, begotten so, appeared
in You as light reflected—when my eyes
had watched it with attention for some time,",neutral
"To course across more kindly waters now
my talent’s little vessel lifts her sails,
leaving behind herself a sea so cruel;",positive
,
,negative
,negative
,
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,neutral
,negative
,neutral
,negative
,neutral
,
,neutral
,negative
,neutral
,positive
,neutral
,negative
,neutral
,neutral
,neutral
,neutral
,positive
,neutral
,positive
,neutral
,positive
,negative
,negative
,negative
,neutral
,
,positive
,positive
,neutral
,
,positive
,neutral
,neutral
,positive
,positive
,positive
,neutral
,neutral
,neutral
,
,
,negative
,positive
,positive
,neutral
,neutral
,neutral
,neutral
,neutral
,positive
"And Libicocco said, “We’ve been too patient!”
and, with his grapple, grabbed him by the arm
and, ripping, carried off a hunk of flesh.",negative
"To this, he who was rich in artifice
replied: “Then I must have too many tricks,
if I bring greater torment to my friends.”",negative
"And Barbariccia, grieving with the rest,
sent four to fly out toward the other shore
with all their forks, and speedily enough",negative
"If anger’s to be added to their malice,
they’ll hunt us down with more ferocity
than any hound whose teeth have trapped a hare.",negative
"We took our upward way upon the ridge,
with crags more jagged, narrow, difficult,
and much more steep than we had crossed before.",negative
"And I to Virgil: “Tell him not to slip
away, and ask what sin has thrust him here;
I knew him as a man of blood and anger.”",negative
"Consider well the seed that gave you birth:
you were not made to live your lives as brutes,
but to be followers of worth and knowledge.",positive
"so I pierced through the dense and darkened fog;
as I drew always nearer to the shore,
my error fled from me, my terror grew;",negative
"now blind, I started groping over each;
and after they were dead, I called them for
two days; then fasting had more force than grief.",negative
"and saw such purity within her eyes,
such joy, that her appearance now surpassed
its guise at other times, even the last.",positive
"O Beatrice, sweet guide and dear! She said
to me: “What overwhelms you is a Power
against which nothing can defend itself.",positive
